product_id,field,state,value,reason,method,review_status,physical_pages,source_sha256
product:B36,normalizedCategory,known,base_cabinet,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36,sku,known,B36,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36,widthIn,known,36,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36FD,depthIn,known,24,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36FD,heightIn,known,34.5,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36FD,manufacturerCategory,known,Base Cabinets,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36FD,normalizedCategory,known,base_cabinet,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36FD,sku,known,B36FD,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36FD,widthIn,known,36,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36SDF,depthIn,known,24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36SDF,heightIn,known,34.5,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36SDF,manufacturerCategory,known,Base Cabinets,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36SDF,normalizedCategory,known,base_cabinet,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36SDF,sku,known,B36SDF,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B36SDF,widthIn,known,36,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39,depthIn,known,24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39,heightIn,known,34.5,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39,manufacturerCategory,known,Base Cabinets,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39,normalizedCategory,known,base_cabinet,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39,sku,known,B39,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39,widthIn,known,39,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39FD,depthIn,known,24,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39FD,heightIn,known,34.5,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39FD,manufacturerCategory,known,Base Cabinets,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39FD,normalizedCategory,known,base_cabinet,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39FD,sku,known,B39FD,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B39FD,widthIn,known,39,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B42,depthIn,known,24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B42,heightIn,known,34.5,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B42,manufacturerCategory,known,Base Cabinets,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B42,normalizedCategory,known,base_cabinet,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B42,sku,known,B42,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B42,widthIn,known,42,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B48,depthIn,known,24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B48,heightIn,known,34.5,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B48,manufacturerCategory,known,Base Cabinets,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B48,normalizedCategory,known,base_cabinet,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B48,sku,known,B48,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B48,widthIn,known,48,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
